item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
NRD-SALM0117,Halberg Salmon Fillet Portion 5kg,"Salmon Fillet Portion, pack: 5kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",937911544334,HAL111330,0,0,333.78
NRD-PRAW0285,Sisu Prawn 16/20 1kg,"Prawn 16/20, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,SIS628925,0,0,391.95
NRD-BEEF0301,Nordvik Beef Patty 100g 48s,"Beef Patty 100g, pack: 48s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",924271042782,NOR221047,0,3,122.31
NRD-MOZZ0018,Golden Pantry Mozzarella Shredded 2kg,"Mozzarella Shredded, pack: 2kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,GOL312051,0,3,471.32
NRD-PUFF0305,Cape Bay Puff Pastry Block 2kg,"Puff Pastry Block, pack: 2kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",938129512713,,0,12,24.61
NRD-BEEF0317,Golden Pantry Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",925634386642,,0,12,387.68
NRD-PUFF0138,Halberg Puff Pastry Sheet 2kg,"Puff Pastry Sheet, pack: 2kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",999877484937,HAL928346,0,3,224.81
NRD-PUFF0459,Halberg Puff Pastry Block 5kg,"Puff Pastry Block, pack: 5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",956092248683,,0,3,337.62
NRD-BUTT0271,Golden Pantry Butter Unsalted Block 500g,"Butter Unsalted Block, pack: 500g. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,GOL870555,0,900,376.96
NRD-BUTT0178,Halberg Butter Unsalted Block 250g,"Butter Unsalted Block, pack: 250g. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,117.29
NRD-SQUI0393,Sisu Squid Ring Raw 1kg,"Squid Ring Raw, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,900,111.29
NRD-BUTT0029,Golden Pantry Butter Unsalted Block 250g,"Butter Unsalted Block, pack: 250g. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",939350546303,GOL823584,0,3,300.92
NRD-FULL0177,Halberg Full Cream Milk UHT 1L,"Full Cream Milk UHT, pack: 1L. Brand Halberg. Sold per Nos.",Halberg,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",957040525491,,0,900,281.21
NRD-MOZZ0133,Fjordal Mozzarella Shredded 1kg,"Mozzarella Shredded, pack: 1kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,FJO520228,0,900,419.77
NRD-CHIC0365,Sisu Chicken Breast Strips 5kg,"Chicken Breast Strips, pack: 5kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,SIS978238,0,3,185.51
NRD-POTA0157,Fjordal Potato Fries Crinkle 2.5kg,"Potato Fries Crinkle, pack: 2.5kg. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",968046215692,FJO171622,0,900,296.02
NRD-SALM0398,Sisu Salmon Fillet Trim D 1kg,"Salmon Fillet Trim D, pack: 1kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",902719415506,,0,0,86.64
NRD-MISC003,MISC CHARGE,,,All Items > Frozen > Misc,Nos,"[{""uom"": ""Nos"", ""conversion_factor"": 1.0}]",,,0,0,0.0
NRD-PUFF0068,Sisu Puff Pastry Block 5kg,"Puff Pastry Block, pack: 5kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",977904581315,,0,0,130.66
NRD-PUFF0492,Golden Pantry Puff Pastry Block 2kg,"Puff Pastry Block, pack: 2kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",993232129533,,0,3,434.64
NRD-POTA0146,Golden Pantry Potato Fries Wedge 2.5kg,"Potato Fries Wedge, pack: 2.5kg. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",973216850633,,0,40,378.63
NRD-SALM0095,Golden Pantry Salmon Fillet Portion 5kg,"Salmon Fillet Portion, pack: 5kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,12,16.91
NRD-VANI0378,Fjordal Vanilla Ice Cream Cone 6s,"Vanilla Ice Cream Cone, pack: 6s. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,FJO756544,0,3,123.41
NRD-FULL0024,Sisu Full Cream Milk UHT 200ml,"Full Cream Milk UHT, pack: 200ml. Brand Sisu. Sold per Nos.",Sisu,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,900,357.09
NRD-BEEF0235,Nordvik Beef Patty 150g 12s,"Beef Patty 150g, pack: 12s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,NOR918673,0,40,413.68
NRD-BEEF0395,Fjordal Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,12,323.47
NRD-VANI0332,Cape Bay Vanilla Ice Cream Cone 6s,"Vanilla Ice Cream Cone, pack: 6s. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",935164655186,CAP655056,0,150,10.78
NRD-SALM0331,Sisu Salmon Fillet Trim D 5kg,"Salmon Fillet Trim D, pack: 5kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,150,186.4
NRD-SALM0413,Sisu Salmon Fillet Trim D 3kg,"Salmon Fillet Trim D, pack: 3kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",954753485179,,0,900,152.74
NRD-CHIC0253-OLD,Nordvik Chicken Breast Diced 5kg,"Chicken Breast Diced, pack: 5kg. Brand Nordvik. Sold per Kg. (superseded)",Nordvik,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,NOR976911,1,0,408.37
NRD-FULL0174B,Golden Pantry Full Cream Milk UHT 200ml (Bulk),"Full Cream Milk UHT, pack: 200ml. Brand Golden Pantry. Sold per Nos.",Golden Pantry,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",973863540740,,0,40,85.42
NRD-BEEF0016,Sisu Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,0,237.45
NRD-SQUI0252,Golden Pantry Squid Ring Breaded 1kg,"Squid Ring Breaded, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Squid Ring,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",991005765279,,0,12,158.59
NRD-BEEF0407,Nordvik Beef Patty 150g 48s,"Beef Patty 150g, pack: 48s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,0,0,216.92
NRD-VANI0288,Halberg Vanilla Ice Cream Tub 6s,"Vanilla Ice Cream Tub, pack: 6s. Brand Halberg. Sold per Nos.",Halberg,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",943001910903,,0,900,237.59
NRD-PUFF0222,Sisu Puff Pastry Sheet 5kg,"Puff Pastry Sheet, pack: 5kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",932377580839,SIS925288,0,900,304.63
NRD-PUFF0367,Sisu Puff Pastry Sheet 1kg,"Puff Pastry Sheet, pack: 1kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",922841072115,,0,3,227.08
NRD-SALM0489,Fjordal Salmon Fillet Side 1kg,"Salmon Fillet Side, pack: 1kg. Brand Fjordal. Sold per Kg.",Fjordal,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",978604447168,FJO327871,0,40,376.92
NRD-VANI0479,Fjordal Vanilla Ice Cream Tub 6s,"Vanilla Ice Cream Tub, pack: 6s. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",942903425360,,0,0,232.23
NRD-CHIC0329,Cape Bay Chicken Breast Strips 5kg,"Chicken Breast Strips, pack: 5kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",987402017720,,0,150,296.95
NRD-BEEF0255,Sisu Beef Patty 150g 12s,"Beef Patty 150g, pack: 12s. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,0,3,293.04
NRD-PUFF0244,Cape Bay Puff Pastry Sheet 2kg,"Puff Pastry Sheet, pack: 2kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",909234314827,CAP184855,0,0,253.08
NRD-SALM0457,Sisu Salmon Fillet Side 5kg,"Salmon Fillet Side, pack: 5kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",933163628434,,0,0,148.56
NRD-CHIC0184,Halberg Chicken Breast Whole 5kg,"Chicken Breast Whole, pack: 5kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",901561126517,,0,0,457.85
NRD-FULL0280,Fjordal Full Cream Milk UHT 200ml,"Full Cream Milk UHT, pack: 200ml. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",940459851552,FJO297786,0,40,374.97
NRD-BEEF0355,Golden Pantry Beef Patty 100g 48s,"Beef Patty 100g, pack: 48s. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",918357190953,,0,3,286.48
NRD-CHIC0239,Cape Bay Chicken Breast Diced 5kg,"Chicken Breast Diced, pack: 5kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",962055513578,,0,12,151.99
NRD-PRAW0362,Cape Bay Prawn 21/25 1kg,"Prawn 21/25, pack: 1kg. Brand Cape Bay. Sold per Kg.",Cape Bay,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",903695055528,CAP014241,0,0,229.68
NRD-POTA0156-OLD,Halberg Potato Fries 10mm 1kg,"Potato Fries 10mm, pack: 1kg. Brand Halberg. Sold per Packet. (superseded)",Halberg,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,HAL442720,1,0,7.8
NRD-BUTT0194,Halberg Butter Unsalted Block 5kg,"Butter Unsalted Block, pack: 5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,HAL440904,0,0,303.58
NRD-BUTT0088,Nordvik Butter Unsalted Sheet 5kg,"Butter Unsalted Sheet, pack: 5kg. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",955024793517,,0,12,157.59
NRD-WHIP0330,Fjordal Whipping Cream 35% 1L,"Whipping Cream 35%, pack: 1L. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Whipping Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,FJO159950,0,40,362.8
NRD-VANI0283,Cape Bay Vanilla Ice Cream Tub 4L,"Vanilla Ice Cream Tub, pack: 4L. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",951217034200,,0,40,343.08
NRD-MOZZ0181,Nordvik Mozzarella Diced 1kg,"Mozzarella Diced, pack: 1kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Mozzarella,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,NOR652602,0,12,361.48
NRD-BEEF0209,Nordvik Beef Patty 200g 12s,"Beef Patty 200g, pack: 12s. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,,0,12,47.09
NRD-PRAW0141,Halberg Prawn 16/20 1kg,"Prawn 16/20, pack: 1kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",917718918232,,0,0,22.16
NRD-CHIC0372,Golden Pantry Chicken Breast Diced 2kg,"Chicken Breast Diced, pack: 2kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,0,2.38
NRD-MISC000,OPENING BALANCE,,,All Items > Frozen > Misc,Nos,"[{""uom"": ""Nos"", ""conversion_factor"": 1.0}]",,,0,0,0.0
NRD-SALM0251,Halberg Salmon Fillet Side 5kg,"Salmon Fillet Side, pack: 5kg. Brand Halberg. Sold per Kg.",Halberg,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",982934241074,,0,40,337.04
NRD-VANI0243,Fjordal Vanilla Ice Cream Tub 1L,"Vanilla Ice Cream Tub, pack: 1L. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",983242044087,FJO965242,0,12,361.36
NRD-POTA0377,Cape Bay Potato Fries Wedge 2.5kg,"Potato Fries Wedge, pack: 2.5kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,CAP626741,0,900,115.49
NRD-CHIC0289,Golden Pantry Chicken Breast Whole 1kg,"Chicken Breast Whole, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,GOL327921,0,0,154.25
NRD-POTA0293,Halberg Potato Fries 10mm 2.5kg,"Potato Fries 10mm, pack: 2.5kg. Brand Halberg. Sold per Packet.",Halberg,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",916919249161,,0,150,78.78
NRD-VANI0066,Sisu Vanilla Ice Cream Tub 6s,"Vanilla Ice Cream Tub, pack: 6s. Brand Sisu. Sold per Nos.",Sisu,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,SIS728774,0,0,34.86
NRD-POTA0017,Sisu Potato Fries 10mm 1kg,"Potato Fries 10mm, pack: 1kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,SIS548419,0,40,145.43
NRD-SALM0482,Sisu Salmon Fillet Side 3kg,"Salmon Fillet Side, pack: 3kg. Brand Sisu. Sold per Kg.",Sisu,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",969671921759,,0,12,374.6
NRD-FULL0182,Fjordal Full Cream Milk UHT 2L,"Full Cream Milk UHT, pack: 2L. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",946730844277,FJO375078,0,900,464.78
NRD-VANI0257,Golden Pantry Vanilla Ice Cream Cone 4L,"Vanilla Ice Cream Cone, pack: 4L. Brand Golden Pantry. Sold per Nos.",Golden Pantry,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",993828991825,GOL399142,0,0,299.42
NRD-BEEF0007,Cape Bay Beef Patty 100g 12s,"Beef Patty 100g, pack: 12s. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",943828583676,,0,0,143.22
NRD-SALM0079,Golden Pantry Salmon Fillet Side 1kg,"Salmon Fillet Side, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Salmon Fillet,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,GOL500901,0,900,235.86
NRD-BEEF0259,Fjordal Beef Patty 200g 48s,"Beef Patty 200g, pack: 48s. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,0,40,68.21
NRD-PUFF0429,Cape Bay Puff Pastry Sheet 5kg,"Puff Pastry Sheet, pack: 5kg. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",950741596781,CAP485223,0,40,81.0
NRD-PRAW0013-OLD,Fjordal Prawn 21/25 2kg,"Prawn 21/25, pack: 2kg. Brand Fjordal. Sold per Kg. (superseded)",Fjordal,All Items > Frozen > Prawn,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",989611008406,,1,0,57.29
NRD-WHIP0334B,Sisu Whipping Cream 38% 1L (Bulk),"Whipping Cream 38%, pack: 1L. Brand Sisu. Sold per Nos.",Sisu,All Items > Frozen > Whipping Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",,,0,3,109.25
NRD-CHIC0310,Golden Pantry Chicken Breast Strips 1kg,"Chicken Breast Strips, pack: 1kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,,0,0,88.72
NRD-CHIC0360,Nordvik Chicken Breast Diced 2kg,"Chicken Breast Diced, pack: 2kg. Brand Nordvik. Sold per Kg.",Nordvik,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",981604350130,,0,40,88.79
NRD-CHIC0437,Golden Pantry Chicken Breast Strips 5kg,"Chicken Breast Strips, pack: 5kg. Brand Golden Pantry. Sold per Kg.",Golden Pantry,All Items > Frozen > Chicken Breast,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,GOL824260,0,900,386.64
NRD-VANI0213,Nordvik Vanilla Ice Cream Tub 4L,"Vanilla Ice Cream Tub, pack: 4L. Brand Nordvik. Sold per Nos.",Nordvik,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",940862507119,NOR323079,0,12,215.11
NRD-BUTT0262,Cape Bay Butter Unsalted Block 250g,"Butter Unsalted Block, pack: 250g. Brand Cape Bay. Sold per Packet.",Cape Bay,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",966993451688,CAP761300,0,3,328.66
NRD-BEEF0368,Sisu Beef Patty 200g 48s,"Beef Patty 200g, pack: 48s. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,3,432.15
NRD-FULL0456,Cape Bay Full Cream Milk UHT 200ml,"Full Cream Milk UHT, pack: 200ml. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,CAP774488,0,3,390.61
NRD-BUTT0183,Nordvik Butter Unsalted Sheet 500g,"Butter Unsalted Sheet, pack: 500g. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,900,188.51
NRD-BEEF0187,Golden Pantry Beef Patty 150g 12s,"Beef Patty 150g, pack: 12s. Brand Golden Pantry. Sold per Packet.",Golden Pantry,All Items > Frozen > Beef Patty,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",914820660661,GOL109964,0,150,218.83
NRD-VANI0403,Halberg Vanilla Ice Cream Tub 1L,"Vanilla Ice Cream Tub, pack: 1L. Brand Halberg. Sold per Nos.",Halberg,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",951421382258,,0,3,386.48
NRD-FULL0323,Cape Bay Full Cream Milk UHT 1L,"Full Cream Milk UHT, pack: 1L. Brand Cape Bay. Sold per Nos.",Cape Bay,All Items > Frozen > Full Cream Milk,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,0,366.05
NRD-BUTT0090,Fjordal Butter Unsalted Block 500g,"Butter Unsalted Block, pack: 500g. Brand Fjordal. Sold per Packet.",Fjordal,All Items > Frozen > Butter Unsalted,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,0,146.88
NRD-PUFF0085,Nordvik Puff Pastry Sheet 1kg,"Puff Pastry Sheet, pack: 1kg. Brand Nordvik. Sold per Packet.",Nordvik,All Items > Frozen > Puff Pastry,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",905107989185,,0,150,418.86
NRD-POTA0192,Sisu Potato Fries Crinkle 1kg,"Potato Fries Crinkle, pack: 1kg. Brand Sisu. Sold per Packet.",Sisu,All Items > Frozen > Potato Fries,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",997753742700,SIS526863,0,900,419.17
NRD-VANI0191,Fjordal Vanilla Ice Cream Cone 1L,"Vanilla Ice Cream Cone, pack: 1L. Brand Fjordal. Sold per Nos.",Fjordal,All Items > Frozen > Vanilla Ice Cream,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,900,341.14
